day,Canary + Deutsche Telekom + P2P,Google Cloud + LayerZero Labs
2025-09-26,,81.0
2025-09-29,50.0,66.0
2025-09-30,,68.0
2025-10-02,,65.0
2025-10-03,,66.0
2025-10-04,,65.0
2025-10-05,,64.0
2025-10-06,,66.0
2025-10-07,,68.0
2025-10-08,,64.0
2025-10-09,,64.0
2025-10-10,,68.0
2025-10-11,,66.0
2025-10-13,,150.0
2025-10-16,,73.0
2025-10-21,,72.0
2025-10-22,,66.0
2025-10-24,,70.0
2025-10-25,,58.0
